section,subject,marks,source_type,source,verification_date
Pre/Para-clinical,Anatomy,17,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Physiology,17,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Biochemistry,17,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Pathology,13,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Microbiology,13,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Pharmacology,13,Official,NBEMS FMGE Information Bulletin,2026-09-23
Pre/Para-clinical,Forensic Medicine,10,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Medicine,33,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Psychiatry,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Dermatology and STD,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Radiotherapy,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,General Surgery,32,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Anaesthesiology,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Orthopedics,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Radiodiagnosis,5,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Pediatrics,15,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Ophthalmology,15,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,ENT,15,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Obstetrics and Gynaecology,30,Official,NBEMS FMGE Information Bulletin,2026-09-23
Clinical,Community Medicine,30,Official,NBEMS FMGE Information Bulletin,2026-09-23
