subject,category,priority,evidence_status,notes,verification_date
Anatomy,Pre-clinical,To be determined,Framework only,,2026-09-23
Physiology,Pre-clinical,To be determined,Framework only,,2026-09-23
Biochemistry,Pre-clinical,To be determined,Framework only,,2026-09-23
Pathology,Para-clinical,To be determined,Framework only,,2026-09-23
Pharmacology,Para-clinical,To be determined,Framework only,,2026-09-23
Microbiology,Para-clinical,To be determined,Framework only,,2026-09-23
Forensic Medicine,Para-clinical,To be determined,Framework only,,2026-09-23
Community Medicine,Para-clinical,To be determined,Framework only,,2026-09-23
Medicine,Clinical,To be determined,Framework only,,2026-09-23
Psychiatry,Clinical,To be determined,Framework only,,2026-09-23
Dermatology,Clinical,To be determined,Framework only,,2026-09-23
Pediatrics,Clinical,To be determined,Framework only,,2026-09-23
Surgery,Clinical,To be determined,Framework only,,2026-09-23
Orthopedics,Clinical,To be determined,Framework only,,2026-09-23
Anaesthesiology,Clinical,To be determined,Framework only,,2026-09-23
Radiodiagnosis,Clinical,To be determined,Framework only,,2026-09-23
Obstetrics and Gynecology,Clinical,To be determined,Framework only,,2026-09-23
Ophthalmology,Clinical,To be determined,Framework only,,2026-09-23
Otorhinolaryngology,Clinical,To be determined,Framework only,,2026-09-23
