subject,topic,subtopic,question_count,independent_source_count,sessions_observed,last_observed_session,evidence_type,confidence,notes,verification_date
Anatomy,Upper Limb,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Pelvis/Perineum,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Abdomen,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Head/Neck,,5,1,June 2026,June 2026,Memory-based recall,Moderate,5 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Lower Limb,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Neuroanatomy,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Anatomy,Embryology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Biochemistry,Molecular Biology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Biochemistry,Vitamins/Minerals,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Biochemistry,Proteins/Amino acids,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Biochemistry,Clinical Biochemistry,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Biochemistry,Acid-Base/Physiology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Dermatology,Infectious Dermatoses,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Dermatology,Pigmentary/Inflammatory,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Dermatology,Acne,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
ENT,External/Middle Ear,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
