subject,topic,subtopic,priority,evidence_status,evidence_source,verification_date
Anatomy,General Anatomy,,,Framework only,,2026-09-23
Anatomy,Upper Limb,,,Framework only,,2026-09-23
Anatomy,Lower Limb,,,Framework only,,2026-09-23
Anatomy,Thorax,,,Framework only,,2026-09-23
Anatomy,Abdomen,,,Framework only,,2026-09-23
Anatomy,Pelvis and Perineum,,,Framework only,,2026-09-23
Anatomy,Head and Neck,,,Framework only,,2026-09-23
Anatomy,Neuroanatomy,,,Framework only,,2026-09-23
Anatomy,Embryology,,,Framework only,,2026-09-23
Anatomy,Histology,,,Framework only,,2026-09-23
Anatomy,Radiological Anatomy,,,Framework only,,2026-09-23
Physiology,General Physiology,,,Framework only,,2026-09-23
Physiology,Cell Physiology,,,Framework only,,2026-09-23
Physiology,Nerve and Muscle,,,Framework only,,2026-09-23
Physiology,Cardiovascular Physiology,,,Framework only,,2026-09-23
Physiology,Respiratory Physiology,,,Framework only,,2026-09-23
Physiology,Renal Physiology,,,Framework only,,2026-09-23
Physiology,Gastrointestinal Physiology,,,Framework only,,2026-09-23
Physiology,Endocrine Physiology,,,Framework only,,2026-09-23
Physiology,Reproductive Physiology,,,Framework only,,2026-09-23
Physiology,CNS Physiology,,,Framework only,,2026-09-23
Biochemistry,General Biochemistry,,,Framework only,,2026-09-23
Biochemistry,Molecular Biology,,,Framework only,,2026-09-23
Biochemistry,Enzymes,,,Framework only,,2026-09-23
Biochemistry,Carbohydrate Metabolism,,,Framework only,,2026-09-23
Biochemistry,Lipid Metabolism,,,Framework only,,2026-09-23
Biochemistry,Protein and Amino Acid Metabolism,,,Framework only,,2026-09-23
Biochemistry,Vitamins and Minerals,,,Framework only,,2026-09-23
Biochemistry,Genetics,,,Framework only,,2026-09-23
Biochemistry,Clinical Biochemistry,,,Framework only,,2026-09-23
Pathology,General Pathology,,,Framework only,,2026-09-23
Pathology,Cell Injury and Adaptation,,,Framework only,,2026-09-23
Pathology,Inflammation and Repair,,,Framework only,,2026-09-23
Pathology,Hemodynamic Disorders,,,Framework only,,2026-09-23
Pathology,Neoplasia,,,Framework only,,2026-09-23
Pathology,Immunopathology,,,Framework only,,2026-09-23
Pathology,Genetic Disorders,,,Framework only,,2026-09-23
Pathology,Hematopathology,,,Framework only,,2026-09-23
Pathology,Cardiovascular Pathology,,,Framework only,,2026-09-23
Pathology,Respiratory Pathology,,,Framework only,,2026-09-23
Pathology,Gastrointestinal Pathology,,,Framework only,,2026-09-23
Pathology,Renal Pathology,,,Framework only,,2026-09-23
Pathology,Endocrine Pathology,,,Framework only,,2026-09-23
Pathology,Reproductive Pathology,,,Framework only,,2026-09-23
Pathology,Neuropathology,,,Framework only,,2026-09-23
Pharmacology,General Pharmacology,,,Framework only,,2026-09-23
Pharmacology,Autonomic Pharmacology,,,Framework only,,2026-09-23
Pharmacology,Cardiovascular Pharmacology,,,Framework only,,2026-09-23
