s_no,institution,location,crmi_slots,source_year,verification_date
595,Apollo Institute of Medical Sciences and Research,Hyderabad,11,2026,2026-09-23
596,Arundathi Institute of Medical Sciences,Malkajgiri,150,2026,2026-09-23
597,Ayaan Institute of Medical Sciences Teaching Hospital and Research Centre,,11,2026,2026-09-23
598,Bhaskar Medical College,Yenkapally,11,2026,2026-09-23
599,Chalmeda Anand Rao Institute of Medical Sciences,Karimnagar,15,2026,2026-09-23
600,CMR Institute of Medical Sciences,,250,2026,2026-09-23
601,Deccan College of Medical Sciences,Hyderabad,11,2026,2026-09-23
602,Dr Patnam Mahender Reddy Institute of Medical Sciences,Chevella Rangareddy,61,2026,2026-09-23
603,Dr VRK Women's Medical College,Aziznagar,8,2026,2026-09-23
604,ESIC Medical College,Sanath Nagar Hyderabad,58,2026,2026-09-23
605,Father Colombo Institute of Medical Sciences,Warangal,150,2026,2026-09-23
606,Gandhi Medical College,Secunderabad,19,2026,2026-09-23
607,GMC Bhadradri Kothagudem,Bhadradri Kothagudem,150,2026,2026-09-23
608,GMC Khammam,Khammam,100,2026,2026-09-23
609,GMC Mancherial,Mancherial,100,2026,2026-09-23
610,GMC Ramagundam,Ramagundam,150,2026,2026-09-23
611,GMC Sangareddy,Sangareddy,150,2026,2026-09-23
612,GMC Jangaon,Jangaon,100,2026,2026-09-23
613,GMC Jayashankar Bhupalpally,Jayashankar Bhupalpally,100,2026,2026-09-23
614,GMC Jogulamba Gadwal,Jogulamba Gadwal,50,2026,2026-09-23
615,GMC Kamareddy,Kamareddy,100,2026,2026-09-23
616,GMC Karimnagar,Karimnagar,100,2026,2026-09-23
617,GMC Kodangal,Kodangal,50,2026,2026-09-23
618,GMC Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,100,2026,2026-09-23
619,GMC Mahabubabad,Mahabubabad,150,2026,2026-09-23
620,GMC Mahabubnagar,Mahabubnagar,13,2026,2026-09-23
621,GMC Maheshwaram,Maheshwaram,50,2026,2026-09-23
622,GMC Medak,Medak,50,2026,2026-09-23
623,GMC Mulugu,Mulugu,50,2026,2026-09-23
624,GMC Nagarkurnool,Nagarkurnool,150,2026,2026-09-23
625,GMC Nalgonda,Nalgonda,11,2026,2026-09-23
626,GMC Narayanpet,Narayanpet,50,2026,2026-09-23
627,GMC Narsampet,Narsampet,50,2026,2026-09-23
628,GMC Nirmal,Nirmal,100,2026,2026-09-23
629,GMC Nizamabad,Nizamabad,9,2026,2026-09-23
630,GMC Qutbullapur,Qutbullapur,50,2026,2026-09-23
631,GMC Rajanna Sircilla,Rajanna Sircilla,100,2026,2026-09-23
632,GMC Siddipet,Siddipet,13,2026,2026-09-23
633,GMC Suryapet,Suryapet,11,2026,2026-09-23
634,GMC Vikarabad,Vikarabad,100,2026,2026-09-23
635,GMC Yadadri,Yadadri,50,2026,2026-09-23
636,GMC Jagtial,Jagtial,150,2026,2026-09-23
637,GMC Wanaparthy,Wanaparthy,150,2026,2026-09-23
638,Kakatiya Medical College,Warangal,19,2026,2026-09-23
639,Kamineni Academy of Medical Sciences and Research Centre,,11,2026,2026-09-23
640,Kamineni Institute of Medical Sciences,Narketpally,15,2026,2026-09-23
641,Mahavir Institute of Medical Sciences,Vikarabad,200,2026,2026-09-23
642,Maheshwara Medical College,Chitkul Patancheru Medak,11,2026,2026-09-23
643,Malla Reddy Institute of Medical Sciences,Hyderabad,15,2026,2026-09-23
644,Malla Reddy Medical College for Women,Hyderabad,15,2026,2026-09-23
645,Mamata Academy of Medical Sciences,Bachupally,11,2026,2026-09-23
646,Mamata Medical College,Khammam,61,2026,2026-09-23
647,Mediciti Institute of Medical Sciences,Ghanpur,11,2026,2026-09-23
648,MNR Medical College and Hospital,Sangareddy,150,2026,2026-09-23
649,Neelima Institute of Medical Sciences,,200,2026,2026-09-23
650,Nova Institute of Medical Sciences and Research Centre,,250,2026,2026-09-23
651,Osmania Medical College,Hyderabad,19,2026,2026-09-23
652,Prathima Institute of Medical Sciences,Karimnagar,65,2026,2026-09-23
653,Prathima Relief Institute of Medical Sciences,Hanamkonda,150,2026,2026-09-23
654,RVM Institute of Medical Sciences and Research Centre,Siddipet,111,2026,2026-09-23
655,Rajiv Gandhi Institute of Medical Sciences,Adilabad,9,2026,2026-09-23
656,S V S Medical College,Mahbubnagar,11,2026,2026-09-23
657,Shadan Institute of Medical Sciences Research Centre and Teaching Hospital,,11,2026,2026-09-23
658,Surabhi Institute of Medical Sciences,Siddipet,61,2026,2026-09-23
659,TRR Institute of Medical Sciences,Patancheru,150,2026,2026-09-23
